nama_makanan,foto,deskripsi_menu,komposisi,berat_g,energi_kkal,protein_gram,lemak_gram,karbohidrat_gram,gula_gram,natrium_mg,serat_gram,zat_besi_mg,kalsium_mg,protein_persen,lemak_persen,gula_persen,garam_persen,serat_persen,zat_besi_persen,kalsium_persen,skor_zat_gizi,kategori
Nasi Chicken Katsu,https://drive.google.com/file/d/1vc3h_mG997XoQbBMY4YlYxaTGd0f6z2q/view?usp=drive_link,Nasi disajikan dengan ayam fillet yang digoreng tepung.,"Nasi, Daging Ayam Fillet, Tepung Terigu, Tepung Panir, Garam, Saus Sambal, Saus Mayonnaise, Saus Barbeque, Minyak",280,610.9,15.6,22.4,84.9,0,291.2,0.8,1.9,72.5,10,0,10,10,0,0,0,30,Makanan
Ketan Susu Tiramisu Keju,https://drive.google.com/file/d/1vTU0KP3-cIJtre1YZjfHq_D3tTmLNUtX/view?usp=drive_link,"Ketan yang disajikan dengan susu kental manis, selai rasa tiramisu dan parutan keju.","Beras Ketan, Santan, Garam, Air, Daun Pandan, Selai Tiramisu, Keju, Susu Kental Manis",90,210.7,4.4,6.9,32.4,4.3,402.2,0.7,0.9,83.3,3,0,3,0,0,0,10,16,Makanan
Dimsum Ayam,https://drive.google.com/file/d/1vb0fCu2YJY-uKMQKPojsDmYJmoYMVfQN/view?usp=sharing,"Hidangan dimsum yang dibuat dengan campuran daging ayam, tepung dan bumbu yang di bungkus dengan kulit pangsit atau kulit dimsum, lalu dikukus hingga matang.","Daging Ayam, Tepung Tapioka, Telur, Bawang Putih, Wortel, Kulit Dimsum, Garam, Gula, Kecap Asin, Saus Tiram",153,469.1,11.5,19.7,60.2,2.7,346.5,1.9,1.9,76.3,7,0,10,7,0,0,0,24,Makanan
Sate Taichan Lontong,https://drive.google.com/file/d/1vWiESHf2ZUC3ENyofS75t41UHBSylHUw/view?usp=sharing,"Hidangan sate ayam yang dibakar tanpa bumbu kacang atau kecap, yang umumnya berwarna putih polos dan disajikan dengan lontong.","Beras, Daging Ayam, Kaldu Rasa Jamur, Minyak",80,279.8,10.3,14.2,27.8,0,150.4,0.1,1.3,58.7,10,0,10,10,0,0,0,30,Makanan
Es Cappucino,https://drive.google.com/file/d/1fQ5chQnz8OgcM0MoPTP7wXiML-n2kobP/view?usp=drive_link,"Minuman kopi dingin dengan perpaduan sempurna antara espresso, gula, dan es batu","Bubuk Cappucino, Gula, Air",55,228.1,1,2.5,49.2,45.1,10.3,1,0,1.5,0,10,0,0,0,0,0,10,Minuman
Es Teh Manis,https://drive.google.com/file/d/1zpYA6ClOSLOYfReujxVa5pRcBLOUM5L_/view?usp=drive_link,"Minuman populer di Indonesia yang di buat dari teh yang diseduh dan dicampur dengan gula dan es batu, rasanya manis dan menyegarkan.","Teh Kemasan, Gula, Air",22,78.7,0,0,18.8,18.8,0.2,0,0,1,0,10,0,0,0,0,0,10,Minuman
Ikan Tuna Tepung,https://drive.google.com/file/d/1ag3Y6BArDkdbZ0Zr-kSTZc5oIxBCAo5p/view?usp=drive_link,"Potongan fillet ikan tuna pilihan dibalut dengan tepung, lalu digoreng hingga renyah keemasan.","Ikan Tuna, Tepung Terigu, Telur Ayam, Garam, Minyak",28.57,41.3,3.7,2,2.2,0,104.7,0,0.2,6,3,0,10,0,0,0,0,13,Makanan
Rolade Saus Lada Hitam,https://drive.google.com/file/d/1oRlM2PU_vWJbqnhT1UBcEXNLwEG_H6Gx/view?usp=drive_link,"Rolade daging giling yang disajikan dengan siraman saus lada hitam yang gurih, pedas, dan beraroma kuat.","Rolade Daging, Saus Lada Hitam, Gula, Garam, Penyedap, Minyak, Bawang Bombay, Bawang Putih",15.7,27.7,1.6,1.6,1.6,0.1,119.8,0,0,0.8,10,0,10,0,0,0,0,20,Makanan
Tempe Orek,https://drive.google.com/file/d/18awmD52ozI-r0ztYeUDM_SnGqtTyYm8a/view?usp=drive_link,"Potongan tempe yang digoreng kering lalu dimasak dengan bumbu manis gurih, menggunakan kecap manis, bawang putih, dan cabai. Teksturnya renyah di luar namun tetap lembut di dalam.","Tempe, Bawang Putih, Lengkuas, Daun Salam, Penyedap, Garam, Gula, Kecap Manis, Minyak, Air",40,89.1,7.8,4.8,5.2,1.1,75.2,0.5,1.5,59.2,3,0,7,3,3,10,7,33,Makanan
Capcay Sayur,https://drive.google.com/file/d/1ig53VQ4MLfh0X_rle-6J-djKc3Lq_rfF/view?usp=drive_link,Tumis aneka sayuran segar seperti wortel dan sawi yang dimasak dengan bumbu gurih khas oriental. Disajikan dengan kuah ringan yang kaya rasa dan aroma bawang putih.,"Wortel, Sawi Putih, Bakso, Bawang Putih, Garam, Penyedap, Air, Minyak, Tepung Maizena",39.4,79.4,2.6,6.4,3,0.7,120.1,0.4,0.4,12.8,10,0,7,0,3,0,0,20,Makanan
